板橋,Banciao
竹北,Jhubei
關西,Guansi
新埔,Sinpu
竹東,Jhudong
湖口,Hukou
橫山,Hengshan
新豐,Sinfong
芎林,Cyonglin
寶山,Baoshan
北埔,Beipu
峨眉,Emei
尖石,Jiandan
五峰,Wufong
苗栗,Miaoli
頭份,Toufen
苑裡,Yuanli
通霄,Tongsiao
竹南,Jhunan
後龍,Houlong
卓蘭,Jhuolan
大湖,Dahu
公館,Gongguan
銅鑼,Tongluo
南庄,Nanjhuang
頭屋,Touwu
三義,Sanyi
西湖,Sihu
造橋,Zaociao
三灣,Sanwan
獅潭,Shihtan
泰安,Tai'an
彰化,Jhanghua
員林,Yuanlin
鹿港,Lugang
和美,Hemei
北斗,Beidou
溪湖,Cihu
田中,Tianjhong
二林,Erlin
線西,Siansi
伸港,Shengang
福興,Fusing
秀水,Sioushuei
花壇,Huatan
芬園,Fenyuan
大村,Dacun
埔鹽,Puyan
埔心,Pusin
永靖,Yongjing
社頭,Shetou
二水,Ershuei
田尾,Tianwei
埤頭,Pitou
芳苑,Fangyuan
大城,Dacheng
竹塘,Jhutang
溪州,Cijhou
南投,Nantou
埔里,Puli
草屯,Caotun
竹山,Jhushan
集集,Jiji
名間,Mingjian
鹿谷,Lugu
中寮,Jhongliao
魚池,Yuchih
國姓,Guosing
水里,Shueili
仁愛,Ren'ai
斗六,Douliou
斗南,Dounan
虎尾,Huwei
西螺,Siluo
土庫,Tuku
北港,Beigang
古坑,Gukeng
大埤,Dapi
莿桐,Cihtong
林內,Linnei
二崙,Erlun
崙背,Lunbei
麥寮,Mailiao
褒忠,Baojhong
臺西,Taisi
元長,Yuanchang
四湖,Sihhu
口湖,Kouhu
水林,Shueilin
太保,Taibao
朴子,Pozih
布袋,Budai
大林,Dalin
民雄,Minsyong
溪口,Cikou
新港,Singang
六腳,Lioujiao
東石,Dongdan
義竹,Yijhu
鹿草,Lucao
水上,Shueishang
中埔,Jhongpu
竹崎,Jhuci
梅山,Meishan
番路,Fanlu
大埔,Dapu
阿里山,Alishan
屏東,Bingdong
潮州,Chaojhou
東港,Donggang
恆春,Hengchun
萬丹,Wandan
長治,Changjhih
麟洛,Linluo
九如,Jiouru
里港,Ligang
鹽埔,Yanpu
高樹,Gaoshu
萬巒,Wanluan
內埔,Neipu
竹田,Jhutian
新埤,Sinpi
枋寮,Fangliao
新園,Sinyuan
崁頂,Kanding
林邊,Linbian
南州,Nanjhou
佳冬,Jiadong
琉球,Liouciou
車城,Checheng
滿州,Manjhou
枋山,Fangshan
三地門,Sandemen
霧臺,Wutai
瑪家,Majia
泰武,Taiwu
來義,Laiyi
春日,Chunrih
獅子,Shihzih
牡丹,Mudan
臺東,Taidong
成功,Chenggong
關山,Guanshan
卑南,Beinan
大武,Dawu
太麻里,Taimali
東河,Donghe
長濱,Changbin
鹿野,Luye
池上,Chihshang
綠島,Lyudao
延平,Yanping
海端,Haiduan
達仁,Daren
金峰,Jinfong
蘭嶼,Lanyu
花蓮,Hualian
鳳林,Fonglin
玉里,Yuli
新城,Sincheng
吉安,Ji'an
壽豐,Shoufong
光復,Guangfu
豐濱,Fongbin
瑞穗,Rueisuei
富里,Fuli
秀林,Sioulin
萬榮,Wanrong
卓溪,Jhuoci
馬公,Magong
湖西,Husi
白沙,Baisha
西嶼,Siyu
望安,Wang'an
七美,Cimei
七堵,Cidu
暖暖,Nuannuan
安樂,Anle
香山,Siangshan
金城,Jincheng
金湖,Jinhu
金沙,Jinsha
金寧,Jinning
烈嶼,Lieyu
烏坵,Wuciou
南竿,Nangan
北竿,Beigan
莒光,Jyuguang
東引,Dongyin
