板橋,Banqiao
斗南,Dounan
虎尾,Huwei
西螺,Xiluo
土庫,Tuku
北港,Beigang
古坑,Gukeng
大埤,Dapi
莿桐,Citong
林內,Linnei
二崙,Erlun
崙背,Lunbei
麥寮,Mailiao
褒忠,Baozhong
臺西,Taixi
元長,Yuanchang
四湖,Sihu
口湖,Kouhu
水林,Shuilin
太保,Taibao
朴子,Pozi
布袋,Budai
大林,Dalin
民雄,Minxiong
溪口,Qikou
新港,Xingang
六腳,Liujiao
東石,Dongdan
義竹,Yizhu
鹿草,Lucao
水上,Shuishang
中埔,Zhongpu
竹崎,Zhuqi
梅山,Meishan
番路,Fanlu
大埔,Dapu
阿里山,Alishan
屏東,Bingdong
潮州,Chaozhou
東港,Donggang
恆春,Hengchun
萬丹,Wandan
長治,Changzhi
麟洛,Linluo
九如,Jiuru
里港,Ligang
鹽埔,Yanpu
高樹,Gaoshu
萬巒,Wanluan
內埔,Neipu
竹田,Zhutian
新埤,Xinpi
枋寮,Fangliao
新園,Xinyuan
崁頂,Kanding
林邊,Linbian
南州,Nanzhou
佳冬,Jiadong
琉球,Liuqiu
車城,Checheng
滿州,Manzhou
枋山,Fangshan
三地門,Sandemen
霧臺,Wutai
瑪家,Majia
泰武,Taiwu
來義,Laiyi
春日,Chunri
獅子,Shizi
牡丹,Mudan
臺東,Taidong
成功,Chenggong
關山,Guanshan
卑南,Beinan
大武,Dawu
太麻里,Taimali
東河,Donghe
長濱,Changbin
鹿野,Luye
池上,Chishang
綠島,Ludao
延平,Yanping
海端,Haiduan
達仁,Daren
金峰,Jinfeng
蘭嶼,Lanyu
花蓮,Hualian
鳳林,Fenglin
玉里,Yuli
新城,Xincheng
吉安,Ji'an
壽豐,Shoufeng
光復,Guangfu
豐濱,Fengbin
瑞穗,Ruisui
富里,Fuli
秀林,Xiulin
萬榮,Wanrong
卓溪,Zhuoqi
馬公,Magong
湖西,Huxi
白沙,Baisha
西嶼,Xiyu
望安,Wang'an
七美,Qimei
七堵,Qidu
暖暖,Nuannuan
安樂,Anle
香山,Xiangshan
金城,Jincheng
金湖,Jinhu
金沙,Jinsha
金寧,Jinning
烈嶼,Lieyu
烏坵,Wuqiu
南竿,Nangan
北竿,Beigan
莒光,Juguang
東引,Dongyin
